Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
85268,Fountain Hills,AZ,33.604811,-111.72852,-7,0,33.604811
85292,Winkelman,AZ,32.945838,-110.72198,-7,0,32.945838
85382,Peoria,AZ,33.689869,-112.24838,-7,0,33.689869
85225,Chandler,AZ,33.316349,-111.83064,-7,0,33.316349
86508,Lupton,AZ,35.325261,-109.07847,-7,0,35.325261
85262,Scottsdale,AZ,33.798581,-111.8708,-7,0,33.798581
85670,Fort Huachuca,AZ,31.880077,-109.754263,-7,0,31.880077
86054,Shonto,AZ,36.630103,-110.65072,-7,0,36.630103
86413,Golden Valley,AZ,35.190896,-114.24036,-7,0,35.190896
85327,Cave Creek,AZ,33.276539,-112.18717,-7,0,33.276539
85543,Pima,AZ,32.90375,-109.84995,-7,0,32.90375
85074,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85258,Scottsdale,AZ,33.566635,-111.89337,-7,0,33.566635
85227,Chandler Heights,AZ,33.212186,-111.686171,-7,0,33.212186
85736,Tucson,AZ,31.979764,-111.29398,-7,0,31.979764
85061,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85545,Roosevelt,AZ,33.624008,-111.01062,-7,0,33.624008
85230,Casa Grande,AZ,32.742949,-111.78945,-7,0,32.742949
85261,Scottsdale,AZ,33.276539,-112.18717,-7,0,33.276539
85390,Wickenburg,AZ,33.961122,-112.76952,-7,0,33.961122
86045,Tuba City,AZ,36.061184,-111.06828,-7,0,36.061184
85376,Sun City West,AZ,33.276539,-112.18717,-7,0,33.276539
85341,Lukeville,AZ,31.970131,-111.890713,-7,0,31.970131
85743,Tucson,AZ,32.335122,-111.14888,-7,0,32.335122
85001,Phoenix,AZ,33.703967,-112.351835,-7,0,33.703967
86331,Jerome,AZ,34.74428,-112.14586,-7,0,34.74428
86503,Chinle,AZ,36.165779,-109.61956,-7,0,36.165779
85628,Nogales,AZ,31.531998,-110.909305,-7,0,31.531998
86337,Seligman,AZ,35.334394,-113.05774,-7,0,35.334394
85214,Mesa,AZ,33.276539,-112.18717,-7,0,33.276539
85263,Rio Verde,AZ,33.722594,-111.67915,-7,0,33.722594
85306,Glendale,AZ,33.624546,-112.1767,-7,0,33.624546
85374,Surprise,AZ,33.643508,-112.38502,-7,0,33.643508
85031,Phoenix,AZ,33.493496,-112.17108,-7,0,33.493496
85307,Glendale,AZ,33.529314,-112.30607,-7,0,33.529314
85536,Fort Thomas,AZ,33.02874,-109.98719,-7,0,33.02874
85931,Forest Lakes,AZ,34.393887,-110.83591,-7,0,34.393887
85716,Tucson,AZ,32.242275,-110.92533,-7,0,32.242275
85744,Tucson,AZ,31.970131,-111.890713,-7,0,31.970131
85730,Tucson,AZ,32.179227,-110.81032,-7,0,32.179227
85279,Florence,AZ,32.983653,-111.326045,-7,0,32.983653
85614,Green Valley,AZ,31.857504,-111.00904,-7,0,31.857504
86520,Blue Gap,AZ,36.045603,-110.00633,-7,0,36.045603
85331,Cave Creek,AZ,33.789204,-111.96301,-7,0,33.789204
85213,Mesa,AZ,33.434192,-111.76892,-7,0,33.434192
85925,Eagar,AZ,34.109777,-109.34532,-7,0,34.109777
85041,Phoenix,AZ,33.386995,-112.10076,-7,0,33.386995
85255,Scottsdale,AZ,33.697268,-111.88321,-7,0,33.697268
85361,Wittmann,AZ,33.739904,-112.59778,-7,0,33.739904
86001,Flagstaff,AZ,35.279872,-111.72256,-7,0,35.279872
86016,Gray Mountain,AZ,35.675689,-111.49474,-7,0,35.675689
85203,Mesa,AZ,33.437493,-111.806,-7,0,33.437493
85285,Tempe,AZ,33.276539,-112.18717,-7,0,33.276539
86404,Lake Havasu City,AZ,34.546899,-114.32546,-7,0,34.546899
86442,Bullhead City,AZ,35.097719,-114.59734,-7,0,35.097719
85324,Black Canyon City,AZ,34.10865,-112.10088,-7,0,34.10865
85627,Pomerene,AZ,32.09881,-110.09917,-7,0,32.09881
85251,Scottsdale,AZ,33.494152,-111.92079,-7,0,33.494152
85439,San Luis,AZ,32.491745,-114.784135,-7,0,32.491745
85334,Ehrenberg,AZ,33.631915,-114.49095,-7,0,33.631915
85075,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85013,Phoenix,AZ,33.50711,-112.08483,-7,0,33.50711
85320,Aguila,AZ,33.945183,-113.19837,-7,0,33.945183
85554,Young,AZ,34.093715,-110.96487,-7,0,34.093715
86003,Flagstaff,AZ,35.630842,-112.052427,-7,0,35.630842
85710,Tucson,AZ,32.213291,-110.82559,-7,0,32.213291
85233,Gilbert,AZ,33.348593,-111.80833,-7,0,33.348593
86025,Holbrook,AZ,34.936261,-110.14698,-7,0,34.936261
85626,Pirtleville,AZ,31.357528,-109.611545,-7,0,31.357528
85735,Tucson,AZ,32.13918,-111.23968,-7,0,32.13918
85017,Phoenix,AZ,33.514092,-112.12285,-7,0,33.514092
86031,Indian Wells,AZ,35.48041,-110.09228,-7,0,35.48041
86038,Mormon Lake,AZ,34.908287,-111.463026,-7,0,34.908287
85068,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85023,Phoenix,AZ,33.638271,-112.09341,-7,0,33.638271
85036,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85551,Solomon,AZ,32.842769,-109.696449,-7,0,32.842769
85705,Tucson,AZ,32.260316,-110.98534,-7,0,32.260316
85927,Greer,AZ,33.801744,-109.58336,-7,0,33.801744
85231,Eloy,AZ,32.712323,-111.57673,-7,0,32.712323
85336,Gadsden,AZ,32.532458,-114.78056,-7,0,32.532458
85357,Wenden,AZ,33.843519,-113.53441,-7,0,33.843519
85289,Tempe,AZ,33.276539,-112.18717,-7,0,33.276539
85701,Tucson,AZ,32.216743,-110.9696,-7,0,32.216743
85042,Phoenix,AZ,33.381234,-112.027663,-7,0,33.381234
85247,Sacaton,AZ,33.107581,-111.75128,-7,0,33.107581
85098,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
85032,Phoenix,AZ,33.62414,-112.00416,-7,0,33.62414
85051,Phoenix,AZ,33.559783,-112.13361,-7,0,33.559783
86341,Sedona,AZ,34.776648,-111.76788,-7,0,34.776648
85550,San Carlos,AZ,33.37214,-110.11686,-7,0,33.37214
86047,Winslow,AZ,35.258309,-110.53128,-7,0,35.258309
85924,Concho,AZ,34.448733,-109.7114,-7,0,34.448733
85930,Mcnary,AZ,34.04421,-109.73709,-7,0,34.04421
85206,Mesa,AZ,33.400306,-111.72452,-7,0,33.400306
86551,Big Park,AZ,34.780464,-111.759944,-7,0,34.780464
86402,Kingman,AZ,35.263249,-114.063651,-7,0,35.263249
86024,Happy Jack,AZ,34.690846,-111.16676,-7,0,34.690846
86002,Flagstaff,AZ,35.630842,-112.052427,-7,0,35.630842
85065,Phoenix,AZ,33.276539,-112.18717,-7,0,33.276539
