,ZIP Code,Type,County,Population,Area Code(s),cities
0,ZIP Code 85001,P.O. Box,Maricopa,0,602 / 480 / 928 / 623 / 520,Phoenix
1,ZIP Code 85002,P.O. Box,Maricopa,0,602 / 480 / 928 / 623 / 520,Phoenix
2,ZIP Code 85003,Standard,Maricopa,9369,602 / 480 / 928 / 623,Phoenix
3,ZIP Code 85004,Standard,Maricopa,4965,602 / 480 / 623 / 520 / 928,Phoenix
4,ZIP Code 85005,P.O. Box,Maricopa,0,602 / 480 / 623,Phoenix
5,ZIP Code 85006,Standard,Maricopa,25742,480 / 928 / 602 / 623 / 520,Phoenix
6,ZIP Code 85007,Standard,Maricopa,14040,602,Phoenix
7,ZIP Code 85008,Standard,Maricopa,56145,480 / 602,Phoenix
8,ZIP Code 85009,Standard,Maricopa,52520,602 / 480 / 623,Phoenix
9,ZIP Code 85010,P.O. Box,Maricopa,0,602 / 480 / 928 / 623 / 520,Phoenix
10,ZIP Code 85011,P.O. Box,Maricopa,0,602 / 480 / 928 / 623 / 520,Phoenix
11,ZIP Code 85012,Standard,Maricopa,6390,602 / 480 / 928 / 623 / 520,Phoenix
12,ZIP Code 85013,Standard,Maricopa,19314,602 / 928 / 480 / 520 / 623,Phoenix
13,ZIP Code 85014,Standard,Maricopa,24782,602 / 480 / 623,Phoenix
14,ZIP Code 85015,Standard,Maricopa,37644,602,Phoenix
15,ZIP Code 85016,Standard,Maricopa,33896,480 / 602 / 623,Phoenix
16,ZIP Code 85017,Standard,Maricopa,38872,602,Phoenix
17,ZIP Code 85018,Standard,Maricopa,36065,480 / 602 / 623,Phoenix
18,ZIP Code 85019,Standard,Maricopa,25042,602 / 623,Phoenix
19,ZIP Code 85020,Standard,Maricopa,32850,602 / 480 / 623,Phoenix
20,ZIP Code 85021,Standard,Maricopa,37743,602 / 480 / 623,Phoenix
21,ZIP Code 85022,Standard,Maricopa,46395,602,Phoenix
22,ZIP Code 85023,Standard,Maricopa,31274,602 / 623,Phoenix
23,ZIP Code 85024,Standard,Maricopa,22898,623,Phoenix
24,ZIP Code 85026,Standard,Maricopa,0,480 / 623,Phoenix
